hidden_size, num_layers, dropout, bidirectional, loss, accuracy, precision, recall, f1
100, 2, 0, True, 0.6699165105819702, 0.7141216993331909, 0.8482490181922913, 0.5093457698822021, 0.636496365070343
100, 2, 0, False, 0.6443341970443726, 0.7106773853302002, 0.7767295837402344, 0.577102780342102, 0.6621983647346497
100, 2, 0.2, True, 0.514754593372345, 0.7623421549797058, 0.7649880051612854, 0.7453271150588989, 0.755029559135437
100, 2, 0.2, False, 0.6522915363311768, 0.700344443321228, 0.7889273166656494, 0.5327102541923523, 0.6359832286834717
100, 2, 0.5, True, 0.7636660933494568, 0.700344443321228, 0.803636372089386, 0.5163551568984985, 0.6287339925765991
100, 2, 0.5, False, 0.7371595501899719, 0.6727898716926575, 0.8016877770423889, 0.44392523169517517, 0.5714285969734192
100, 4, 0, True, 0.6098520755767822, 0.7451205253601074, 0.8322580456733704, 0.6028037667274475, 0.6991870403289795
100, 4, 0, False, 0.6980432868003845, 0.7037887573242188, 0.8148148059844971, 0.514018714427948, 0.6303724646568298
100, 4, 0.2, True, 0.745734453201294, 0.7152698040008545, 0.8409090638160706, 0.5186915993690491, 0.6416184902191162
100, 4, 0.2, False, 0.7653859853744507, 0.6521239876747131, 0.8531073331832886, 0.3528037369251251, 0.4991735816001892
100, 4, 0.5, True, 0.7059005498886108, 0.7129735946655273, 0.8027210831642151, 0.5514018535614014, 0.6537396311759949
100, 4, 0.5, False, 0.6765100955963135, 0.6991963386535645, 0.8267716765403748, 0.49065420031547546, 0.6158357858657837
100, 6, 0, True, 0.615462601184845, 0.7566016316413879, 0.8272727131843567, 0.6378504633903503, 0.7203165888786316
100, 6, 0, False, 0.6807512044906616, 0.7037887573242188, 0.8294573426246643, 0.5, 0.6239067316055298
100, 6, 0.2, True, 0.6811889410018921, 0.7359356880187988, 0.8299999833106995, 0.5817757248878479, 0.6840659379959106
100, 6, 0.2, False, 0.5635054111480713, 0.7210103273391724, 0.8315412402153015, 0.5420560836791992, 0.6562941670417786
100, 6, 0.5, True, 0.7669237852096558, 0.7141216993331909, 0.8509804010391235, 0.5070093274116516, 0.6354318857192993
100, 6, 0.5, False, 0.5697383880615234, 0.7451205253601074, 0.7696335315704346, 0.6869158744812012, 0.7259259223937988
150, 2, 0, True, 0.7469107508659363, 0.700344443321228, 0.812734067440033, 0.5070093274116516, 0.6244603991508484
150, 2, 0, False, 0.7941862344741821, 0.6831228733062744, 0.811475396156311, 0.46261683106422424, 0.5892857313156128
150, 2, 0.2, True, 0.7375925779342651, 0.708381175994873, 0.8222222328186035, 0.5186915993690491, 0.6361031532287598
150, 2, 0.2, False, 0.6492184996604919, 0.7072330713272095, 0.8777292370796204, 0.46962615847587585, 0.611872136592865
